Countries,Average GDP per Capita,Connections
Cyprus + South Africa,14760,4
Cyprus + Lebanon,16050,4
Cyprus + Mauritius,17585,4
Egypt + Vietnam,3075,4
Egypt + Malta,17220,4
Egypt + Ethiopia,2145,4
Australia + Sweden,53690,4
Sweden + Vietnam,27575,4
Cuba + Sweden,30665,4
Iran + Sweden,28940,4
Libya + Sweden,29865,4
Kuwait + Sweden,43060,4
Mauritius + Sweden,31990,4
Maldives + Sweden,31145,4
Finland + Nigeria,26045,4
Finland + Tunisia,26650,4
Brunei + Finland,39840,4
Armenia + Finland,27175,4
Finland + Tajikistan,25435,4
Finland + Kazakhstan,29430,4
Finland + Kuwait,41775,4
Finland + Sri Lanka,27000,4
Finland + Lebanon,29170,4
Finland + Mauritius,30705,4
Norway + Singapore,79230,4
Norway + South Africa,40170,4
Libya + Norway,40870,4
Angola + Norway,38590,4
Liberia + United States,32705,4
Burma + United States,33065,4
Nicaragua + United States,33355,4
Brunei + United States,47255,4
Indonesia + United States,34325,4
Saint Kitts and Nevis + United States,41160,4
Tajikistan + United States,32850,4
Turks and Caicos Islands + United States,47355,4
Bahrain + United States,43460,4
Uganda + United States,32740,4
Grenada + United States,37150,4
Congo (Kinshasa) + United States,32635,4
Philippines + Saudi Arabia,12950,4
Austria + Philippines,27230,4
Philippines + Sri Lanka,3715,4
Liberia + United Arab Emirates,21620,4
Antigua and Barbuda + United Arab Emirates,30815,4
Nepal + United Arab Emirates,21800,4
Tanzania + United Arab Emirates,21835,4
Armenia + United Arab Emirates,23505,4
Jamaica + United Arab Emirates,23860,4
Trinidad and Tobago + United Arab Emirates,29560,4
Uganda + United Arab Emirates,21655,4
New Zealand + United Arab Emirates,41480,4
Barbados + United Arab Emirates,30535,4
Rwanda + United Arab Emirates,21665,4
United Arab Emirates + Zambia,21915,4
Brazil + Kenya,5175,4
Brazil + Malaysia,9860,4
Bahamas + Brazil,19815,4
Brazil + Guadeloupe,15645,4
Brazil + Martinique,16405,4
Brazil + Guatemala,6545,4
Brazil + Hungary,12995,4
Brazil + Ukraine,6125,4
Brazil + Libya,7920,4
Brazil + Moldova,6540,4
Brazil + Romania,10675,4
Brazil + Bulgaria,9150,4
Barbados + Brazil,13545,4
Brazil + Malta,19775,4
Brazil + Mauritius,10045,4
Liberia + Nigeria,1425,4
Guinea + Nigeria,1515,4
Austria + Nigeria,26650,4
Israel + Nigeria,22830,4
Argentina + Nigeria,6045,4
Mexico + Nigeria,5705,4
Czech Republic + Nigeria,12680,4
Nigeria + Tunisia,2785,4
Nigeria + Poland,8920,4
Nigeria + South Africa,4015,4
Nigeria + Ukraine,2920,4
Libya + Nigeria,4715,4
Malta + Nigeria,16570,4
Angola + Nigeria,2435,4
Belarus + Nigeria,4425,4
Liberia + Sierra Leone,620,4
Algeria + Guinea,2420,4
Algeria + Cameroon,2800,4
Angola + Cameroon,2150,4
Canada + Serbia,26510,4
Brunei + Canada,37650,4
Canada + Indonesia,24720,4
Canada + Haiti,23225,4
Canada + Turks and Caicos Islands,37750,4
Canada + Romania,29145,4
Canada + Kuwait,39585,4
Bolivia + Canada,24540,4
Canada + Uganda,23135,4
Canada + New Zealand,42960,4
Canada + Grenada,27545,4
Canada + Mauritius,28515,4
Mexico + Saudi Arabia,15895,4
Hungary + Saudi Arabia,19980,4
Brunei + Saudi Arabia,26165,4
Indonesia + Saudi Arabia,13235,4
Romania + Saudi Arabia,17660,4
Saudi Arabia + Sri Lanka,13325,4
Bulgaria + Saudi Arabia,16135,4
Malta + Saudi Arabia,26760,4
Angola + Saudi Arabia,12625,4
Australia + Kenya,28330,4
Kenya + Vietnam,2215,4
Israel + Kenya,22620,4
Kenya + Mexico,5495,4
Czech Republic + Kenya,12470,4
Jordan + Kenya,3070,4
Kenya + Kuwait,17700,4
Kenya + Qatar,266055,4
Kenya + Rwanda,1260,4
Nepal + Thailand,4455,4
Mexico + Thailand,8555,4
Tajikistan + Thailand,4420,4
Thailand + Ukraine,5770,4
Jordan + Thailand,6130,4
Bulgaria + Thailand,8795,4
Angola + Thailand,5285,4
Mauritius + Thailand,9690,4
Israel + Singapore,63725,4
Nepal + Singapore,42500,4
Mexico + Singapore,46600,4
Algeria + Singapore,43980,4
Greece + Singapore,52170,4
Ireland + Singapore,80715,4
Portugal + Singapore,53505,4
Czech Republic + Singapore,53575,4
Kuwait + Singapore,58805,4
Singapore + Sri Lanka,44030,4
Qatar + Singapore,307160,4
Angola + Singapore,43330,4
Mauritius + Singapore,47735,4
Belarus + Singapore,45320,4
Australia + Cambodia,28260,4
Australia + Belgium,50495,4
Australia + Turkey,31975,4
Australia + Denmark,57965,4
Australia + Qatar,292625,4
Australia + New Zealand,47645,4
Australia + Maldives,32355,4
China + Venezuela,6150,4
Antigua and Barbuda + China,14550,4
China + Nepal,5535,4
China + Tanzania,5570,4
Chile + China,13555,4
Armenia + China,7240,4
China + Jamaica,7595,4
China + Trinidad and Tobago,13295,4
China + Romania,11400,4
China + New Zealand,25215,4
Barbados + China,14270,4
China + El Salvador,7130,4
China + Lithuania,14665,4
China + Zimbabwe,5730,4
Croatia + Hong Kong,31735,4
Antigua and Barbuda + Hong Kong,33665,4
Hong Kong + Oman,31880,4
Hong Kong + Nepal,24650,4
Argentina + Hong Kong,29090,4
Hong Kong + Panama,31880,4
Hong Kong + Jamaica,26710,4
Hong Kong + Trinidad and Tobago,32410,4
Hong Kong + Tajikistan,24615,4
Hong Kong + Ukraine,25965,4
Hong Kong + Libya,27760,4
Hong Kong + Romania,30515,4
Bahrain + Hong Kong,35225,4
Barbados + Hong Kong,33385,4
Hong Kong + Malta,39615,4
Ethiopia + Hong Kong,24540,4
Hong Kong + Lebanon,28350,4
Japan + Venezuela,21240,4
Dominican Republic + Japan,24175,4
Cuba + Japan,24535,4
Hungary + Japan,28810,4
Japan + Panama,27855,4
Chile + Japan,28645,4
Japan + Latvia,29320,4
Japan + Ukraine,21940,4
Japan + Kuwait,36930,4
Bulgaria + Japan,24965,4
Japan + Malta,35590,4
Angola + Japan,21455,4
Japan + Lebanon,24325,4
Japan + Mauritius,25860,4
Dominican Republic + Taiwan,17895,4
Panama + Taiwan,21575,4
Georgia + Taiwan,16045,4
Latvia + Taiwan,23040,4
New Zealand + Taiwan,34025,4
Mauritius + Taiwan,19580,4
Israel + Malaysia,27305,4
Malaysia + Nepal,6080,4
Greece + Malaysia,15750,4
Czech Republic + Malaysia,17155,4
Latvia + Malaysia,14775,4
Jordan + Malaysia,7755,4
Ethiopia + Malaysia,5970,4
Angola + Malaysia,6910,4
Cambodia + Germany,24005,4
Bangladesh + Cambodia,1855,4
Brunei + Cambodia,15695,4
Burma + Germany,23890,4
Austria + Burma,26255,4
Burma + Nepal,1210,4
Brunei + Burma,15580,4
Burma + Indonesia,2650,4
Burma + Macau,4990,4
Burma + Sri Lanka,2740,4
Turkey + Vietnam,5860,4
Mexico + Vietnam,5950,4
Algeria + Vietnam,3330,4
Poland + Vietnam,9165,4
Macau + Vietnam,5630,4
South Africa + Vietnam,4260,4
Denmark + Vietnam,31850,4
Maldives + Vietnam,6240,4
Armenia + Germany,25415,4
Germany + Kazakhstan,27670,4
Germany + Iran,25895,4
Bahrain + Germany,34285,4
Germany + Uganda,23565,4
Germany + Jersey,50370,4
Ethiopia + Germany,23600,4
Croatia + India,8660,4
Croatia + Serbia,11345,4
Croatia + Moldova,9845,4
Croatia + Malta,23080,4
Argentina + Austria,30515,4
Austria + Kazakhstan,30035,4
Austria + Iran,28260,4
Austria + Kuwait,42380,4
Austria + Sri Lanka,27605,4
Bahamas + Netherlands,42100,4
Antigua and Barbuda + Bahamas,25050,4
Bahamas + Dominican Republic,19585,4
Argentina + Bahamas,20475,4
Bahamas + Turks and Caicos Islands,30505,4
Bahamas + Barbados,24770,4
Antigua and Barbuda + Netherlands,36110,4
Costa Rica + Netherlands,32570,4
Netherlands + Tanzania,27130,4
Kazakhstan + Netherlands,31055,4
Iran + Netherlands,29280,4
Bahrain + Netherlands,37670,4
Netherlands + Uganda,26950,4
Barbados + Netherlands,35830,4
Ethiopia + Netherlands,26985,4
Netherlands + Zambia,27210,4
Antigua and Barbuda + Morocco,11140,4
Bangladesh + Morocco,2655,4
Georgia + Morocco,3825,4
Jamaica + Morocco,4185,4
Morocco + Trinidad and Tobago,9885,4
Morocco + Romania,7990,4
Morocco + Uganda,1980,4
Barbados + Morocco,10860,4
Mauritius + Morocco,7360,4
Mauritania + Morocco,2250,4
Cape Verde + Morocco,3215,4
Antigua and Barbuda + Belgium,32575,4
Bangladesh + Belgium,24090,4
Belgium + Serbia,26790,4
Belgium + Georgia,25260,4
Belgium + Jamaica,25620,4
Belgium + Trinidad and Tobago,31320,4
Belgium + Kuwait,39865,4
Belgium + Uganda,23415,4
Barbados + Belgium,32295,4
Belgium + Lithuania,32690,4
Belgium + Congo (Brazzaville),24085,4
Belgium + Maldives,27950,4
Dominican Republic + Turkey,8590,4
Armenia + Turkey,6745,4
Ethiopia + Turkey,4930,4
Aruba + Guadeloupe,28070,4
Aruba + Chile,25255,4
Aruba + Jamaica,19295,4
Aruba + Haiti,17180,4
Aruba + El Salvador,18830,4
Guadeloupe + Venezuela,12480,4
Martinique + Venezuela,13240,4
Guatemala + Venezuela,3380,4
Uruguay + Venezuela,9630,4
Paraguay + Venezuela,4075,4
Antigua and Barbuda + Guadeloupe,20880,4
Antigua and Barbuda + Martinique,21640,4
Antigua and Barbuda + Israel,31270,4
Antigua and Barbuda + Mexico,14145,4
Antigua and Barbuda + Cuba,13955,4
Antigua and Barbuda + Ireland,48260,4
Antigua and Barbuda + Denmark,40045,4
Antigua and Barbuda + Jordan,11720,4
Cuba + Guadeloupe,15775,4
Guadeloupe + Jamaica,13925,4
Guadeloupe + Trinidad and Tobago,19625,4
Guadeloupe + Haiti,11810,4
Barbados + Guadeloupe,20600,4
Argentina + Martinique,17065,4
Martinique + Mexico,16725,4
Cuba + Martinique,16535,4
Martinique + Puerto Rico,34695,4
Dominican Republic + South Korea,20410,4
Dominican Republic + India,5125,4
Dominican Republic + Guatemala,6315,4
Dominican Republic + Paraguay,7010,4
Dominican Republic + Latvia,13275,4
Dominican Republic + Qatar,269240,4
Belarus + Dominican Republic,7400,4
Barbados + Saint Lucia,14415,4
Argentina + South Korea,21300,4
Hungary + South Korea,25045,4
Latvia + South Korea,25555,4
South Korea + Ukraine,18175,4
Kuwait + South Korea,33165,4
Bulgaria + South Korea,21200,4
Malta + South Korea,31825,4
Angola + South Korea,17690,4
Lebanon + South Korea,20560,4
Mauritius + South Korea,22095,4
Argentina + Israel,26695,4
Cuba + Israel,26165,4
Israel + South Africa,24665,4
Israel + Jamaica,24315,4
Israel + Trinidad and Tobago,30015,4
Israel + Kazakhstan,26215,4
Israel + Qatar,286915,4
Barbados + Israel,30990,4
Bangladesh + Oman,8790,4
Bangladesh + Nepal,1560,4
Algeria + Bangladesh,3040,4
Bangladesh + Greece,11230,4
Bangladesh + Poland,8875,4
Bangladesh + Denmark,31560,4
Bangladesh + Libya,4670,4
Bahrain + Bangladesh,12135,4
Bangladesh + Ethiopia,1450,4
India + Oman,8805,4
India + Nepal,1575,4
Argentina + India,6015,4
India + Pakistan,1720,4
India + Serbia,4805,4
India + Tunisia,2755,4
India + Tanzania,1610,4
India + Macau,5355,4
India + Tajikistan,1540,4
India + Iran,3760,4
India + Romania,7440,4
Bahrain + India,12150,4
India + Uganda,1430,4
Ethiopia + India,1465,4
India + Lebanon,5275,4
India + Zambia,1690,4
Argentina + Guatemala,7205,4
Algeria + Argentina,6950,4
Argentina + Poland,12785,4
Argentina + Latvia,14165,4
Argentina + Jamaica,7530,4
Argentina + Trinidad and Tobago,13230,4
Argentina + Jordan,7145,4
Angola + Argentina,6300,4
Argentina + Belarus,8290,4
Hungary + Mexico,13315,4
Czech Republic + Mexico,16205,4
Mexico + Nicaragua,5600,4
Mexico + Paraguay,7560,4
Mexico + South Africa,7540,4
Mexico + Moldova,6860,4
Mexico + Romania,10995,4
Mexico + Qatar,269790,4
Bulgaria + Mexico,9470,4
Barbados + Mexico,13865,4
Guatemala + Nicaragua,3235,4
Chile + Guatemala,10785,4
Cuba + Czech Republic,16015,4
Cuba + Tunisia,6120,4
Cuba + Jordan,6615,4
Cuba + Moldova,6670,4
Costa Rica + Nicaragua,6975,4
Costa Rica + Puerto Rico,28575,4
Bolivia + Costa Rica,7765,4
Algeria + Serbia,5740,4
Serbia + Ukraine,5575,4
Moldova + Serbia,5990,4
Romania + Serbia,10125,4
Qatar + Serbia,268920,4
Algeria + Hungary,10695,4
Algeria + South Africa,4920,4
Algeria + Tajikistan,2475,4
Algeria + Romania,8375,4
Algeria + Kuwait,18815,4
Algeria + Bulgaria,6850,4
Algeria + Mauritius,7745,4
Algeria + Maldives,6900,4
Greece + South Africa,13110,4
Greece + Kuwait,27005,4
Angola + Greece,11530,4
Greece + Mauritius,15935,4
Hungary + Jordan,10890,4
Hungary + Lebanon,12915,4
Ireland + Tunisia,40425,4
Ireland + Panama,46475,4
Ireland + Jamaica,41305,4
Ireland + Trinidad and Tobago,47005,4
Ireland + Libya,42355,4
Ireland + Kuwait,55550,4
Ireland + Uganda,39100,4
Barbados + Ireland,47980,4
Ireland + Lebanon,42945,4
Ireland + Mauritius,44480,4
Georgia + Portugal,13735,4
Kuwait + Portugal,28340,4
Portugal + Uganda,11890,4
Congo (Kinshasa) + Portugal,11785,4
Mauritius + Portugal,17270,4
Armenia + Czech Republic,13810,4
Czech Republic + Qatar,276765,4
Czech Republic + Mauritius,17340,4
Poland + Tunisia,9525,4
Latvia + Tunisia,10905,4
Moldova + Tunisia,3940,4
Poland + South Africa,10755,4
Iran + Poland,10530,4
Angola + Poland,9175,4
Mauritius + Poland,13580,4
Maldives + Poland,12735,4
Nicaragua + Panama,8730,4
Denmark + Panama,38260,4
Haiti + Panama,8205,4
Honduras + Nicaragua,2195,4
El Salvador + Nicaragua,3095,4
Brunei + Sri Lanka,16930,4
Indonesia + Macau,6250,4
Paraguay + Uruguay,11445,4
Bolivia + Uruguay,10275,4
Bolivia + Paraguay,4720,4
Jordan + South Africa,5115,4
Kuwait + South Africa,19745,4
Congo (Kinshasa) + South Africa,3190,4
Belarus + South Africa,6260,4
Botswana + South Africa,6675,4
Georgia + Malta,17695,4
Denmark + Jamaica,33090,4
Denmark + Trinidad and Tobago,38790,4
Denmark + Libya,34140,4
Denmark + Kuwait,47335,4
Denmark + Uganda,30885,4
Barbados + Denmark,39765,4
Denmark + Mauritius,36265,4
Denmark + Maldives,35420,4
Armenia + Latvia,11430,4
Armenia + Belarus,5555,4
Haiti + Jamaica,3035,4
Jamaica + Jordan,4765,4
Jamaica + Puerto Rico,25160,4
Haiti + Trinidad and Tobago,8735,4
Jordan + Trinidad and Tobago,10465,4
Grenada + Trinidad and Tobago,13055,4
Haiti + Puerto Rico,23045,4
Libya + Ukraine,5455,4
Jordan + Ukraine,4020,4
Belarus + Libya,6960,4
Jordan + Moldova,4435,4
Jordan + Romania,8570,4
Jordan + Kuwait,19010,4
Jordan + Qatar,267365,4
Bulgaria + Jordan,7045,4
Barbados + Jordan,11440,4
Jordan + Mauritius,7940,4
Puerto Rico + Virgin Islands,43350,4
Lebanon + Moldova,6460,4
Malta + Romania,21860,4
Lebanon + Romania,10595,4
Belarus + Kuwait,20155,4
Maldives + Qatar,270080,4
Bulgaria + Lithuania,14500,4
Bulgaria + Lebanon,9070,4
Bolivia + El Salvador,3885,4
Barbados + Grenada,14030,4
Angola + Lebanon,5560,4
Angola + Mauritius,7095,4
Angola + Zambia,1975,4
Belarus + Lithuania,12980,4
Equatorial Guinea + Gabon,8760,4
Maldives + Mauritius,10655,4
Belarus + Mauritius,9085,4
Cote d'Ivoire + Russia,7120,3
Burkina Faso + Russia,6155,3
Mali + Russia,6245,3
Niger + Russia,5965,3
Russia + Sierra Leone,6080,3
Bahamas + Russia,21315,3
Russia + Uzbekistan,6620,3
Antigua and Barbuda + Russia,15325,3
Martinique + Russia,17905,3
Pakistan + Russia,6455,3
Panama + Russia,13540,3
Indonesia + Russia,7750,3
Russia + Trinidad and Tobago,14070,3
Kyrgyzstan + Russia,6455,3
Kuwait + Russia,22615,3
Russia + Sri Lanka,7840,3
Albania + Russia,8815,3
Barbados + Russia,15045,3
Luxembourg + Russia,61235,3
Estonia + Russia,17525,3
Azerbaijan + Brazil,6295,3
Azerbaijan + Nigeria,3090,3
Azerbaijan + Saudi Arabia,13280,3
Azerbaijan + Kenya,2880,3
Azerbaijan + Singapore,43985,3
Azerbaijan + Malaysia,7565,3
Azerbaijan + Uzbekistan,2825,3
Azerbaijan + Bangladesh,3045,3
Argentina + Azerbaijan,6955,3
Azerbaijan + Cuba,6425,3
Azerbaijan + Ireland,40730,3
Azerbaijan + Portugal,13520,3
Azerbaijan + Tunisia,3695,3
Azerbaijan + South Africa,4925,3
Azerbaijan + Tajikistan,2480,3
Azerbaijan + Iran,4700,3
Azerbaijan + Jordan,4190,3
Azerbaijan + Romania,8380,3
Azerbaijan + Bulgaria,6855,3
Azerbaijan + Luxembourg,57440,3
Angola + Azerbaijan,3345,3
Peru + Switzerland,44430,3
Peru + Sweden,29680,3
Finland + Peru,28395,3
Norway + Peru,40685,3
Bahamas + Peru,18960,3
Belgium + Peru,26485,3
Antigua and Barbuda + Peru,12970,3
Peru + South Korea,19785,3
Israel + Peru,25180,3
India + Peru,4500,3
Peru + Portugal,14960,3
Nicaragua + Peru,4425,3
Belize + Peru,5645,3
Peru + South Africa,6365,3
Jamaica + Peru,6015,3
Haiti + Peru,3900,3
Jordan + Peru,5630,3
Cote d'Ivoire + Switzerland,42315,3
Cote d'Ivoire + Egypt,3065,3
Cote d'Ivoire + Gambia,1555,3
Cote d'Ivoire + Turkey,5850,3
Cote d'Ivoire + Tunisia,3020,3
Cote d'Ivoire + Denmark,31840,3
Angola + Cote d'Ivoire,2670,3
Congo (Kinshasa) + Cote d'Ivoire,1590,3
Cote d'Ivoire + Lebanon,5540,3
Cote d'Ivoire + Gabon,5155,3
Cote d'Ivoire + Mauritania,1965,3
Burkina Faso + Switzerland,41350,3
Burkina Faso + Egypt,2100,3
Burkina Faso + Turkey,4885,3
Burkina Faso + Tunisia,2055,3
Burkina Faso + Denmark,30875,3
Angola + Burkina Faso,1705,3
Burkina Faso + Congo (Kinshasa),625,3
Burkina Faso + Lebanon,4575,3
Burkina Faso + Gabon,4190,3
Burkina Faso + Mauritania,1000,3
Ghana + Togo,1445,3
Finland + Ghana,26045,3
Gambia + Ghana,1320,3
Cameroon + Ghana,1895,3
Austria + Ghana,26650,3
Ghana + Israel,22830,3
Bangladesh + Ghana,2135,3
Argentina + Ghana,6045,3
Ghana + Mexico,5705,3
Czech Republic + Ghana,12680,3
Ghana + Tunisia,2785,3
Ghana + Poland,8920,3
Ghana + South Africa,4015,3
Ghana + Ukraine,2920,3
Ghana + Kuwait,17910,3
Ghana + Qatar,266265,3
Ghana + Malta,16570,3
Angola + Ghana,2435,3
Belarus + Ghana,4425,3
Mali + Switzerland,41440,3
Egypt + Mali,2190,3
Guinea + Mali,875,3
Guinea-Bissau + Mali,800,3
Canada + Mali,23215,3
Germany + Mali,23645,3
Mali + Turkey,4975,3
Mali + Portugal,11970,3
Mali + Tunisia,2145,3
Lebanon + Mali,4665,3
Equatorial Guinea + Mali,5380,3
Colombia + Senegal,3910,3
Saudi Arabia + Senegal,12005,3
Kenya + Senegal,1605,3
Hong Kong + Senegal,24860,3
Japan + Senegal,20835,3
Senegal + Taiwan,14555,3
Dominican Republic + Senegal,4790,3
Senegal + South Korea,17070,3
Argentina + Senegal,5680,3
Mexico + Senegal,5340,3
Poland + Senegal,8555,3
Senegal + South Africa,3650,3
Latvia + Senegal,9935,3
Libya + Senegal,4350,3
Qatar + Senegal,265900,3
Central African Republic + Senegal,945,3
Belarus + Senegal,4060,3
Benin + Togo,790,3
Benin + Niger,605,3
Benin + Canada,23200,3
Benin + Germany,23630,3
Benin + Portugal,11955,3
Benin + Denmark,30950,3
Angola + Benin,1780,3
Benin + Central African Republic,655,3
Benin + Congo (Brazzaville),1475,3
Benin + Mauritania,1075,3
Niger + Togo,525,3
Italy + Togo,17020,3
Togo + United Kingdom,22855,3
Togo + United States,32725,3
Togo + United Arab Emirates,21640,3
Liberia + Togo,690,3
Sierra Leone + Togo,640,3
Cameroon + Togo,1160,3
Algeria + Togo,2350,3
Gabon + Togo,4185,3
Italy + Niger,16835,3
Niger + Switzerland,41160,3
Niger + United Kingdom,22670,3
Niger + Spain,15170,3
Egypt + Niger,1910,3
Niger + United Arab Emirates,21455,3
Canada + Niger,22935,3
Germany + Niger,23365,3
Niger + Turkey,4695,3
Niger + Portugal,11690,3
Niger + Tunisia,1865,3
Lebanon + Niger,4385,3
Colombia + Turkey,7710,3
Colombia + South Korea,19530,3
Colombia + India,4245,3
Colombia + Latvia,12395,3
Colombia + Qatar,268360,3
Angola + Colombia,4530,3
Belarus + Colombia,6520,3
Ecuador + Italy,19705,3
Ecuador + United Kingdom,25540,3
China + Ecuador,8060,3
Aruba + Ecuador,19760,3
Cuba + Ecuador,7465,3
Ecuador + Uruguay,11540,3
Ecuador + Paraguay,5985,3
Belize + Ecuador,5245,3
Ecuador + Puerto Rico,25625,3
Djibouti + Italy,17615,3
Italy + Uzbekistan,17490,3
Italy + Saint Lucia,21830,3
Italy + Nepal,17180,3
Italy + Tanzania,17215,3
Indonesia + Italy,18620,3
Italy + Uruguay,25165,3
Italy + Sri Lanka,18710,3
Albania + Italy,19685,3
Italy + New Zealand,36860,3
Bermuda + Italy,77520,3
Italy + Luxembourg,72105,3
Italy + Jersey,43840,3
Congo (Kinshasa) + Italy,16930,3
Gabon + Italy,20495,3
Estonia + Italy,28395,3
Sierra Leone + Switzerland,41275,3
Bahamas + Switzerland,56510,3
Switzerland + Venezuela,42120,3
Guadeloupe + Switzerland,52340,3
Martinique + Switzerland,53100,3
Saint Lucia + Switzerland,46155,3
Oman + Switzerland,48735,3
Panama + Switzerland,48735,3
Chile + Switzerland,49525,3
Armenia + Switzerland,43210,3
Kazakhstan + Switzerland,45465,3
Sri Lanka + Switzerland,43035,3
Albania + Switzerland,44010,3
